_id,pin,number,total_amount
3510673,0001B00010000000,11,13585.47
3510674,0001C00058000000,2,7827.64
3510675,0001C01661000000,6,14038.9
3510676,0001C016610W2100,1,805.33
3510677,0001C01661W13700,3,3654.3
3510678,0001C01661W21800,1,121.13
3510679,0001C01662006800,1,1207.99
3510680,0001C01662015300,1,1112.02
3510681,0001C01662015400,1,881.2
3510682,0001C01662018600,1,705.24
3510683,0001C01662019500,3,1631.85
3510684,0001C01662021600,3,5042.88
3510685,0001C01662022200,1,368.94
3510686,0001C01662022300,1,350.49
3510687,0001C01662022400,1,282.38
3510688,0001C01662061400,1,116.57
3510689,0001C016620A2300,1,35
3510690,0001C01662101100,1,973.43
3510691,0001C01662101400,1,648.48
3510692,0001C01662201100,1,409.62
3510693,0001C01662D01900,1,18.92
3510694,0001C01662L02500,1,793.69
3510695,0001D00057000000,1,1624
3510696,0001D00066000000,3,22377.2
3510697,0001D00148000000,9,12218
3510698,0001D00149000A00,6,914.28
3510699,0001D00150000000,2,125.89
3510700,0001D00183000000,1,947.52
3510701,0001D00259C70300,1,2408.99
3510702,0001D00259C70900,1,4130.1
3510703,0001D00259C71400,1,4593.74
3510704,0001E00120000002,2,5.62
3510705,0001F00007000000,11,7701.16
3510706,0001G00224040500,2,1615.99
3510707,0001H00030000000,15,8887.78
3510708,0001H00086000000,1,3562.4
3510709,0001H00106000000,1,395.43
3510710,0001H00207000000,1,892.51
3510711,0001H00217000000,2,92.44
3510712,0001H00303000000,1,789.44
3510713,0001H00327020200,1,1260.54
3510714,0001H00327100200,1,14.23
3510715,0001H00327170100,1,93.66
3510716,0001H00350000A00,1,14616
3510717,0001H00377000000,1,18570.8
3510718,0001H00381000000,1,3050.85
3510719,0001H00387000000,1,12772.16
3510720,0001J00057000000,1,382.06
3510721,0001K00050000000,1,80.64
3510722,0001K00050000002,3,1615.27
3510723,0001M00007000000,1,1587.75
3510724,0001M00052000000,2,16394.42
3510725,0001N00008000000,3,698.31
3510726,0001N00023000000,1,563.82
3510727,0001N00043000000,5,4030.15
3510728,0001N00049000000,4,2581.04
3510729,0001N00093000000,1,784.63
3510730,0001N00095000000,9,7787.88
3510731,0001N00112000300,11,5738.08
3510732,0001N00115000000,2,112.53
3510733,0001N00149000100,1,32.16
3510734,0001N00164000000,2,1835.69
3510735,0001N00172000000,1,255.42
3510736,0001N00180000000,6,2228.03
3510737,0001N00182000000,3,55.35
3510738,0001N00182000A00,1,16.08
3510739,0001N00219000000,7,6394.56
3510740,0001N00281002B00,2,6888
3510741,0001N00299000000,5,6184.06
3510742,0002A00040000000,1,1231.22
3510743,0002A00047000000,14,19592.32
3510744,0002A00127150300,1,1295.55
3510745,0002B00181000000,1,28.16
3510746,0002B00351000000,2,2197.8
3510747,0002B00351000001,5,3343.15
3510748,0002B00402000000,1,10254.64
3510749,0002C00300000000,1,30.92
3510750,0002D00005000002,2,1729.46
3510751,0002D00042000000,3,3636.74
3510752,0002D00250000000,7,318.09
3510753,0002D00256000000,6,1027.04
3510754,0002D00300000000,1,128.52
3510755,0002D00304000000,2,1837.88
3510756,0002D00313000000,1,83.1
3510757,0002D00349000000,1,648.97
3510758,0002D00372000000,1,1868.35
3510759,0002D00385000000,23,2825.69
3510760,0002D00412000000,10,8187.47
3510761,0002F00150000000,1,67.15
3510762,0002F00151000000,1,151.62
3510763,0002F00175004500,1,321.64
3510764,0002F00175004800,1,14.99
3510765,0002F00175010500,1,297.99
3510766,0002F00175011800,1,1006.71
3510767,0002F00175016300,2,3006.34
3510768,0002F00175020600,2,259.56
3510769,0002F00175071000,1,331.1
3510770,0002G00010000000,2,125.89
3510771,0002G00030000000,1,769.1
3510772,0002G00057000000,2,2342.82
3510773,0002G00289000000,1,13.07
3510774,0002G00322000000,1,14.66
3510775,0002G00323000000,1,1.89
3510776,0002H00010000000,1,473
3510777,0002H00011000000,1,1175.4
3510778,0002H00035000A00,1,425.7
3510779,0002H00041000000,2,519.33
3510780,0002H00041000A00,2,274.31
3510781,0002H00077000000,1,3141.7
3510782,0002H00078000000,7,4967.49
3510783,0002H00123000000,3,237.42
3510784,0002H00123000C00,2,244.2
3510785,0002H00123000D00,6,1285.34
3510786,0002H00124000000,1,8.44
3510787,0002H00128000000,27,670.66
3510788,0002H00129000000,26,4029.87
3510789,0002H00147000000,8,363.78
3510790,0002H00150000000,3,9.93
3510791,0002H00253000000,9,2236.32
3510792,0002H00254000000,2,114.41
3510793,0002H00257000000,8,5746
3510794,0002H00261000000,40,14581.23
3510795,0002H00263000000,2,338.9
3510796,0002H00270000000,2,81.4
3510797,0002H00271000000,2,97.68
3510798,0002H00287000000,7,319.31
3510799,0002H00298000000,10,2232.74
3510800,0002H00303000000,36,2571
3510801,0002H00312000000,25,1396.89
3510802,0002H00316000000,20,2134.4
3510803,0002H00324000A00,31,679.76
3510804,0002H00325000000,29,648.4
3510805,0002J00104000000,1,5742.79
3510806,0002J00261000000,1,115.88
3510807,0002L00021000000,1,162.85
3510808,0002L00108000000,1,815.06
3510809,0002L00121000000,1,9.38
3510810,0002L00235000000,1,191.23
3510811,0002M00218000000,10,3278.93
3510812,0002M00335000000,1,98.74
3510813,0002P00110000000,2,36385.8
3510814,0002R00275000000,7,4652.3
3510815,0002R0028000A100,11,49831.62
3510816,0002R002800A0100,1,5388.29
3510817,0002R00320000100,1,90354
3510818,0003C00030000001,22,5028.05
3510819,0003C00180000000,1,1950.16
3510820,0003C00185000000,1,1827.8
3510821,0003D00050000000,34,4889.89
3510822,0003D00100000000,40,28683.99
3510823,0003E00014000000,7,12632.53
3510824,0003E00032000000,14,140.58
3510825,0003E00067000000,3,3270.28
3510826,0003E00071000000,1,476.78
3510827,0003E00071000A00,1,10.88
3510828,0003E00074000000,1,158.93
3510829,0003E00075000000,1,41.62
3510830,0003F00017000000,1,332.91
3510831,0003F00040000A00,1,216.21
3510832,0003F00052000000,4,4015.16
3510833,0003F00053000A00,1,85.72
3510834,0003F00150000000,1,3012.55
3510835,0003G00086000000,1,54.51
3510836,0003G00114000000,3,1631.52
3510837,0003G00129000000,3,3913.55
3510838,0003G00134000000,1,898.7
3510839,0003G00154000000,8,213.45
3510840,0003G00194000000,4,2442
3510841,0003G00210000000,1,638.55
3510842,0003G00265000000,1,2476.63
3510843,0003H00041000100,2,6965.85
3510844,0003H00111000000,1,984.82
3510845,0003H00112000000,2,357.16
3510846,0003H00149000000,3,387.7
3510847,0003H00163000000,6,9542.86
3510848,0003H00176000000,1,714.23
3510849,0003H00190000000,1,520.3
3510850,0003H00239000000,1,19.87
3510851,0003H00243000000,7,4759.33
3510852,0003H00261000000,3,6880.02
3510853,0003H00269000000,1,443.91
3510854,0003H00272000000,1,2233.61
3510855,0003H00292000000,1,282.85
3510856,0003H00293000000,1,429.96
3510857,0003H00308000200,1,5.65
3510858,0003H00333000000,5,1923.7
3510859,0003H00357000A00,38,44.88
3510860,0003H00361000000,38,78.43
3510861,0003I08G82000000,1,734.95
3510862,0003J00012000000,3,66.27
3510863,0003J00017000000,29,493.3
3510864,0003J00048000000,7,146.82
3510865,0003J00052000000,6,85.26
3510866,0003J00063000000,3,1089.63
3510867,0003J00082000000,39,9925.66
3510868,0003J00106000000,1,849.98
3510869,0003J00135000000,35,1747.3
3510870,0003K00009000000,3,27.96
3510871,0003K00035000000,1,373.67
3510872,0003K00036000000,1,43.04
3510873,0003K00040000000,15,2791.57
3510874,0003K00044000000,1,520.77
3510875,0003K00046000000,1,521.25
3510876,0003K00048000000,1,7.1
3510877,0003K00049000000,1,838.63
3510878,0003K00050000000,1,213.32
3510879,0003K00052000000,1,8.99
3510880,0003K00054000000,1,8.51
3510881,0003K00057000000,9,4604.68
3510882,0003K00078000000,2,146.52
3510883,0003K00100000000,28,938.75
3510884,0003K00109000000,28,3091.06
3510885,0003K00110000000,14,5203.26
3510886,0003K00139000A00,16,114.69
3510887,0003K00140000000,7,35
3510888,0003K00142000000,19,4355.77
3510889,0003K00170000000,3,301.55
3510890,0003K00180000000,3,3332.28
3510891,0003K00184000000,3,294.2
3510892,0003L00005000000,28,1477.09
3510893,0003L00007000000,23,9441.86
3510894,0003L00008000000,31,14734.56
3510895,0003L00010000000,1,17.5
